,Price,Transmission,Power,Engine CC,Fuel_2.0,Male,Female,Unknown,Total,Sale_2
186,58.46907407,6.444444444,148.5185185,2174.037037,1,10247,3053,967,14267,1
187,41.59161538,6.461538462,111.3076923,1624.769231,0,9004,4687,571,14262,1
188,37.52210345,3.896551724,107.3793103,2084.37931,0,10398,2989,823,14210,1
189,158.976,8,326,3295,0,10034,3418,731,14183,1
190,32.898125,5.333333333,116.2916667,2081.375,0,10882,2428,646,13956,1
191,114.8758333,8,235,2979,0,11265,1708,694,13667,1
192,11.395,5,52.5,1047.75,0,5142,7685,744,13571,1
193,14.22409091,4.727272727,64.45454545,1353.363636,0,6012,6758,769,13539,1
194,37.44666667,2.611111111,120.3333333,2085.055556,0,8910,3970,620,13500,1
195,9.465666667,4.666666667,50,996,0,4700,8094,615,13409,1
196,33.12857143,5.285714286,103,1914.714286,0,7167,5292,782,13241,1
197,14.333375,4.5625,59.875,1183.25,0,5141,7106,739,12986,1
198,7.92,4,33.33333333,868.3333333,0,7690,4739,550,12979,1
199,23.58666667,5.25,81.16666667,1509.75,0,7343,5303,290,12936,1
200,26,5,70,1597,0,2304,9672,899,12875,1
201,11.370625,5,48,1518,0,7729,4375,640,12744,1
202,37.01736842,4.736842105,97.57894737,2697.368421,1,9143,3027,569,12739,1
203,23.16515789,3.947368421,82.15789474,1817.315789,0,7314,4690,716,12720,1
204,22.69,4.8,82.2,1773.7,0,9003,3084,630,12717,1
205,18.76285714,4.714285714,80.42857143,1612.928571,0,8102,3942,666,12710,1
206,42.74666667,5,128.5,2548.833333,0,10660,1541,405,12606,1
207,42.5595,6.166666667,131.6666667,2313.666667,0,6065,5405,737,12207,1
208,108.7471951,7.853658537,207.6097561,2304.97561,1,9293,2167,668,12128,1
209,13.70454545,4.818181818,47.45454545,1384,0,4800,6549,573,11922,1
210,30.99,0,105,335,0,8948,2277,392,11617,1
211,32.723,3.6,96,1498,0,6436,4377,715,11528,1
212,13.2053,6,35.8,679,0,4946,5197,662,10805,1
213,26.19775,4.625,77,1495,0,4903,5230,641,10774,1
214,17.44569231,4.692307692,68.26923077,1791.230769,0,7738,2453,579,10770,1
215,25.2075,5,80.5,1753,0,6043,3615,636,10294,1
216,116.545,8,230,2981,0,8781,749,545,10075,1
217,33.495,0,81,285,0,5504,4181,383,10068,1
218,12.6825,5,45,999,0,3867,4960,404,9231,1
219,18.88233333,4.666666667,74,1523.333333,0,5205,3467,543,9215,1
220,285.247,7.2,428.2,5577.8,0,7602,1024,406,9032,1
221,55.62,6,145.75,2460.75,0,5701,2875,425,9001,1
222,60.9552,5.5,146,2588.6,1,6393,2239,325,8957,1
223,13.11525,4.75,50.875,1430.75,0,5690,2841,412,8943,1
224,37.00904545,4.590909091,114.6818182,2208.090909,0,6096,2050,608,8754,1
225,22.91875,5.25,75.5,1288.5,0,5001,3496,187,8684,1
226,30.236875,4.5,110,2316,0,6659,1547,463,8669,1
227,20.37,5.642857143,74.21428571,1324.357143,0,6234,2009,371,8614,1
228,27.4066,6,89,1552,0,5033,3351,223,8607,1
229,36.38445588,4.5,125.7058824,2294.764706,0,6702,1438,427,8567,1
230,22.047,3.6,73,1329,0,4955,2986,571,8512,1
231,60.87,6.75,228,1984,0,6675,1345,322,8342,1
